Hour,Generator,Unit commitment,Generation
0,0,1.0,20.0
0,1,1.0,8.035224804539364
1,0,1.0,20.0
1,1,1.0,8.035224804539364
2,0,1.0,20.0
2,1,1.0,8.035224804539364
3,0,1.0,20.0
3,1,1.0,8.035224804539364
4,0,1.0,20.0
4,1,1.0,8.035224804539364
5,0,1.0,20.0
5,1,1.0,8.035224804539364
6,0,1.0,20.0
6,1,1.0,8.035224804539364
7,0,1.0,20.0
7,1,1.0,8.035224804539364
8,0,1.0,20.0
8,1,1.0,8.035224804539364
9,0,1.0,20.0
9,1,1.0,8.035224804539364
10,0,1.0,20.0
10,1,1.0,8.035224804539364
11,0,1.0,20.0
11,1,1.0,8.035224804539364
12,0,1.0,20.0
12,1,1.0,8.035224804539364
13,0,1.0,20.0
13,1,1.0,8.035224804539364
14,0,1.0,20.0
14,1,1.0,8.035224804539364
15,0,1.0,20.0
15,1,1.0,8.035224804539364
16,0,1.0,20.0
16,1,1.0,8.035224804539364
17,0,1.0,20.0
17,1,1.0,8.035224804539364
18,0,1.0,20.0
18,1,1.0,8.035224804539364
19,0,1.0,20.0
19,1,1.0,8.035224804539364
20,0,1.0,20.0
20,1,1.0,8.035224804539364
21,0,1.0,20.0
21,1,1.0,8.035224804539364
22,0,1.0,20.0
22,1,1.0,8.035224804539364
23,0,1.0,20.0
23,1,1.0,7.286298576867042
