Hour,Import/Export
0,-20.035224804539364
1,-20.035224804539364
2,-18.035224804539364
3,-18.035224804539364
4,-18.035224804539364
5,-12.035224804539364
6,-6.035224804539364
7,-4.035224804539364
8,-2.0352248045393644
9,3.9647751954606356
10,1.9647751954606356
11,-0.035224804539364385
12,-6.035224804539364
13,-10.035224804539364
14,-12.035224804539364
15,-12.035224804539364
16,-8.035224804539364
17,-4.035224804539364
18,-0.035224804539364385
19,5.964775195460636
20,9.964775195460636
21,1.9647751954606356
22,-6.035224804539364
23,-15.286298576867042
